toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
1063.01,406976746,PC,10.0665238,839.9044871,2.4023189,2458629.391681,2.7272824,54.8791715,694.1792631,9.0689,5552.0,0.791742,4.61783,61.1201,230.555493,-83.056214
1074.01,327301957,PC,13.9428705,1015.395543,3.7522756,2458662.652685,2.4233421,28.0927293,587.1759148,10.6339,5206.0,0.741671,4.63095,107.356,310.761004,-72.010267
1077.01,369960846,PC,1.6062693,16725.3019333,1.9561305,2458654.102739,12.6436029,844.2700581,1374.8018137,13.461,5192.0,0.984326,4.4617,463.683,173.810798,-88.096213
1001.01,88863718,PC,1.9316462,1286.0,3.166,2459987.948873,11.2154,44464.5,4045.0,9.42344,7070.0,2.01,4.03,295.862,122.580465,-5.513852
1007.01,65212867,PC,6.9989206,2840.0,3.953,2459247.930695,14.7752,448.744,1282.0,8.87759,6596.0,2.7,3.71,283.291,112.752393,-4.463359
1009.01,107782586,PC,1.9600277,1707.6272693,2.0065257,2459229.230924,,1063.3422958,1456.4246534,8.4331,8868.7,,,866.147,111.667845,-24.462111
1011.01,114018671,PC,2.4705036,273.0272045,2.3513472,2460715.898893,1.44656,575.597,1364.0,8.2388,5413.7,0.94,4.46,52.62,113.984761,-32.841999
1012.01,427508467,APC,0.884182,1890.0,1.621,2459252.509595,24.8132,112144.0,5098.0,8.12718,8928.0,2.72,3.92,295.959,117.095285,6.785064
1019.01,341420329,PC,5.2341008,20796.9416293,3.7078139,2459232.446864,24.2931408,1453.6663847,1574.8381848,10.6348,7645.0,1.56203,4.3,399.544,120.147994,-54.878552
1027.01,20318757,PC,3.2834565,1558.0,1.537,2460037.86905,2.87648,161.092,992.0,10.2103,4272.0,0.68,4.6,56.3449,167.133275,-29.653135
1032.01,146589986,PC,5.6643704,3491.8232968,3.8087395,2459283.828685,14.7738943,7657.6621505,2385.8536488,9.7611,10395.0,2.3383701,4.13,587.196,159.221506,-42.541639
1035.01,361413119,PC,6.0744477,5982.5212406,2.4954821,2459286.872605,30.9493217,1487.5644344,1583.9398898,10.1126,5964.0,2.4303801,3.7,347.556,144.150273,-61.583182
1036.01,146172354,PC,3.7795212,2761.0,2.952,2460037.172273,5.98375,466.528,1294.0,10.2855,5771.0,1.18,4.31,184.015,157.867112,-42.240448
1039.01,461867584,APC,4.420125,2466.0,3.956,2460031.2166,,,,8.5483,,,,2864.34,149.688545,-58.760453
1044.01,463402815,PC,1.0085089,3051.0,1.642,2460037.194672,,,,10.0031,5215.2,,,494.689,153.811023,-58.766393
1056.01,421894914,PC,5.3079507,391.3830934,3.2158594,2458326.062424,3.0486928,603.2401116,1263.9861129,9.6663,6124.3,1.36963,4.38,168.354,339.258703,-76.917605
1057.01,323132914,PC,51.1701501,851.4547808,6.6641048,2458607.350901,2.9366826,11.2148229,466.7322968,9.4091,5599.0,0.943356,4.46138,98.2855,127.996917,-78.407564
1058.01,31553893,PC,11.1296441,951.6169809,7.0473822,2458663.023129,12.8402271,1255.6817164,1518.2372485,9.3781,5785.0,3.4475601,4.344,338.831,288.911772,-31.790813
1059.01,380783252,PC,9.4496506,19750.0,2.021,2460106.337519,17.0216,38.5799,694.0,9.7825,5509.0,0.94,4.39758,98.8783,269.714503,-60.922727
1060.01,101230735,APC,2.0685633,502.0,0.373,2460149.536226,3.89739,24.409,619.0,9.6652,5687.9,1.14,4.6,128.491,299.290995,-48.934476
1125.01,80166433,PC,0.7724825,211.3168519,1.3744974,2459036.495091,4.1624907,60276.5000547,3996.2877922,8.0465,8271.0,2.5027299,3.95,237.593,298.287708,-46.369991
1131.01,198213332,PC,0.5860366,410.5241553,0.8098934,2458711.595435,4.906408,26813.1057089,3263.6721812,9.2872,5579.0,2.39803,3.67,222.74,248.433545,61.718334
1137.01,89389197,PC,1.3206356,1052.4255997,1.6000996,2459770.240602,34.7561624,3652.2582486,1982.7142102,9.00558,4919.6,6.3070302,,419.435,301.17768,30.409951
1079.01,379240073,PC,3.1644075,5603.4635466,2.0576293,2458656.380357,14.8814743,2206.1550476,1747.9490013,13.1284,6519.0,1.7234,4.22068,1179.27,283.119492,-55.387928
1081.01,253728991,PC,2.9840866,6014.0780197,2.9051285,2460858.623432,12.5116438,828.3050344,1368.2558852,11.5247,6027.0,1.23975,4.29978,354.05,282.140409,-40.11177
1082.01,261108236,PC,16.3469053,2212.4257252,3.5865698,2458626.085696,3.5059571,8.9995944,441.7489067,11.8835,4310.0,0.649613,4.57345,100.248,83.275809,-80.815478
1083.01,322270620,PC,12.9802953,2407.2608671,2.5034417,2458627.915974,2.4241912,4.7341229,376.2093904,12.0936,3614.0,0.491323,4.81257,68.9109,296.822194,-87.32281
1085.01,381979901,APC,3.2541181,13620.0,4.341,2460041.175097,14.9476,1436.45,,11.6577,6102.0,1.28,4.28649,444.066,77.605399,-59.535664
1086.01,468148930,PC,3.7178828,4864.8405125,5.5277827,2458655.291499,14.6986197,1925.1426172,1689.4116185,12.2303,5818.0,2.0840001,4.33787,736.397,305.56982,-88.568495
1091.01,193413306,PC,1.725841,2710.0,3.674,2459359.55521,15.0024,50469.2,4175.0,9.3529,7348.0,2.39,3.9,321.671,222.101134,-56.025931
1094.01,136274063,APC,0.5971314,910.0,0.468,2459360.160536,9.08382,1596.43,1760.0,9.9806,7710.0,2.28,3.98,426.003,230.498827,-53.819601
1095.01,375223080,PC,1.4821386,2102.6568299,2.1867078,2459307.385949,13.7339261,18197.1354531,2962.2418039,10.4291,7066.0,2.6647301,3.78,582.521,133.968965,-75.926187
1103.01,351603103,PC,2.94308,4490.0,4.073,2459037.655526,45.3525,2533.34,1976.0,10.5598,4437.0,3.13,,320.212,310.086743,-63.789963
1105.01,274151135,PC,10.8680523,1553.0,2.375,2460086.979446,2.90726,20.7383,594.0,10.2809,4664.0,0.76,4.55,79.5225,146.053969,-89.471513
1106.01,384513078,PC,11.1149,900.0,2.26,2458630.71937,14.7645,21.9713,603.0,10.0717,5042.0,4.94,,523.425,253.110033,-79.135182
1114.01,409934330,APC,2.4887726,4852.0,2.632,2460148.616195,,773.3029498,1344.9531805,8.1129,8048.0,,4.438,174.475,302.147728,-71.552443
1115.01,379286801,APC,4.45199,8483.38,2.109,2458658.32747,15.8858,1013.74,1571.0,10.526,6708.3,1.57,4.2,359.215,283.301843,-54.910806
1116.01,304100538,PC,5.0100708,409.4812214,2.0644756,2458325.661906,2.3107394,210.6631712,971.6657708,9.5268,5551.0,0.906282,4.46214,94.4178,27.699972,-75.848774
1117.01,295541511,PC,2.2281625,630.0,2.015,2459386.963814,2.56778,702.927,1434.0,10.4055,5731.0,1.02,4.43,167.598,273.602061,-66.419974
1119.01,261369656,APC,10.95663,3830.0,3.588,2458666.52199,23.9726,619.065,1389.0,10.5024,6456.0,2.07,3.92,421.518,292.604815,-46.278074
1123.01,469782185,APC,1.20928,11883.8,1.886,2458658.04087,15.1764,,,10.2398,5159.8,1.27,4.23,161.932,292.391505,-37.304009
1124.01,128790976,APC,3.5187707,5634.0,2.408,2460149.391758,14.0061,2000.01,1863.0,7.2235,6690.0,1.49,4.24,75.7145,300.212928,-43.982529
119.01,278683844,PC,5.5411113,597.3296582,2.4142561,2460987.348604,1.9687561,364.2204844,1217.0522727,9.2789,5332.0,0.82,4.56429,66.6187,99.238421,-58.016153
1190.01,287196418,APC,3.6950015,7655.0,4.515,2460553.884666,14.1288,2184.62,1904.0,9.80529,7106.7,1.63,4.2,280.948,292.734132,59.403853
1192.01,158276040,APC,45.9403293,14807.0,3.768,2460524.90576,28.3312,20.4053,,10.4999,6479.3,1.28,,283.025,286.550056,44.0808
1196.01,69068526,PC,5.5376617,5390.0,2.517,2459785.498161,15.6557,351.929,1206.0,10.4318,6689.0,2.06,3.96,424.442,291.707693,17.808736
1197.01,92677094,PC,4.5960377,5000.0,4.744,2459787.132209,16.2166,2340.04,1937.0,10.4247,7649.0,2.12,4.04,405.634,293.26832,15.736136
1204.01,467666275,PC,1.3812115,117.7553083,2.7372191,2458569.940999,2.2402361,5767.3673643,2222.614552,8.004,6711.0,1.7756799,4.06358,106.505,169.119109,-60.567675
1139.01,202563254,PC,4.4780798,1054.0,4.513,2460549.445856,11.3678,31621.7,3715.0,8.86193,7947.0,1.83,4.2,238.726,304.034336,31.925687
1149.01,117789567,APC,2.3202418,5082.9417064,2.3817612,2459770.330784,,22262.0513573,3115.3801229,7.9172,8737.5,,,632.553,300.774016,26.892025
1153.01,154840461,APC,6.0360758,987.0,1.255,2460472.256051,9.86763,464.097,1293.0,8.40534,6528.3,1.69,4.21,147.134,182.691562,85.705076
1154.01,459970307,PC,21.745537,659.0,4.196,2460339.328709,2.10208,28.2504,642.0,9.3188,5704.0,0.93,4.51,93.8819,254.924043,64.699214
1162.01,13419950,PC,7.3166682,3210.0,3.255,2460544.815606,,1221.82,1647.0,9.65306,8730.0,,,348.481,305.289344,41.462366
1163.01,375542276,PC,3.0771612,4703.2844346,2.6914319,2459441.801256,,2636.8654415,1827.6445751,9.47751,9311.3,,,148.342,294.091757,19.639255
1169.01,302518439,PC,6.7075429,11920.0,2.125,2460323.760513,17.4647,225.822,1079.0,10.6405,6134.3,1.24,,259.0,134.120039,72.533276
1176.01,230088370,PC,14.0077666,5924.8349672,5.8727493,2458695.361762,12.4023108,264.4796635,1028.5320293,10.1772,6557.7,1.57435,4.18,295.561,247.35668,71.505873
1179.01,148914726,APC,1.2615323,2841.0,1.039,2460365.036662,8.67407,1437.18,1715.0,10.1313,4927.9,0.78,4.57,86.444,187.055897,67.240043
1187.01,372757221,PC,2.5941968,907.0,0.861,2460310.089156,4.47229,300.014,1159.0,9.9002,6389.0,1.4,4.26,221.071,162.893176,81.322174
1189.01,112026224,PC,3.9687994,1760.0,1.07,2459441.286476,,,,9.8744,5286.9,,,,292.223229,24.20119
1218.01,294781547,PC,13.7739339,338.2166234,2.9992376,2460953.672515,1.8971927,67.2831271,730.4597521,10.3869,5455.96,1.01825,4.46737,135.689,71.484109,-68.761805
1219.01,294981566,PC,1.9142544,248.0,3.256,2460121.561055,2.04421,6105.33,2462.0,10.1207,6734.0,1.59,4.18582,301.291,72.332562,-67.368745
1220.01,319259194,APC,70.3607265,1353.9678246,1.0325441,2458439.580138,8.2807306,52.1124723,685.259664,9.5298,6308.0,2.0982201,3.98679,273.698,71.650779,-78.561605
1222.01,374997123,PC,10.1944993,317.3261147,2.2648785,2458329.466254,2.7392825,231.1087411,994.4291411,10.3014,6082.0,1.32661,4.33287,226.932,99.224785,-63.079384
1225.01,150428703,PC,13.896396,748.5332881,3.5885605,2458414.082856,2.4586343,52.3837065,686.1495861,11.7582,5522.87,0.888163,4.67156,252.615,97.166308,-64.596432
1226.01,177115354,PC,3.9287851,485.9762569,1.8165271,2458438.458273,2.329279,376.4612937,1123.4398689,11.5514,5668.15,0.986943,4.52573,257.93,103.754836,-69.867129
1229.01,140760434,APC,31.8132264,11479.375547,11.2567164,2459970.491644,21.6314984,48.4375724,672.8454841,10.779,6028.84,1.98893,3.96199,254.584,74.130396,-74.920333
1239.01,154716798,PC,12.6396982,3292.6812864,3.3830702,2459604.095801,4.6025162,39.6563977,640.0266601,10.7192,5217.0,0.789425,4.59186,126.903,158.011286,84.030377
124.01,29831208,APC,1.8428078,1950.0,1.449,2460042.199513,21.2705,1687.83,1785.0,11.1311,5080.0,4.09,4.48159,809.252,66.58263,-67.806354
1205.01,287776397,PC,2.3922703,63.575141,9.0053425,2458383.241223,3.5905923,18015.5142019,2954.822621,8.3902,6090.0,4.1956,3.29864,309.932,127.128017,-74.954728
1207.01,364393429,PC,2.6282553,75.2858004,2.0930597,2458325.539664,0.9817044,955.7979966,1418.1144376,9.2397,6282.0,1.10743,4.37809,113.758,116.594329,-64.056009
1208.01,273985865,PC,3.4239436,443.6391381,1.9601023,2458327.476703,1.7581475,294.3078003,1056.3800546,10.5924,5626.0,0.823019,4.56195,134.757,30.508742,-83.227962
1209.01,30037565,PC,40.7199388,355.619391,4.2436925,2458337.088331,3.2352713,47.143655,668.3063106,9.597,5914.0,1.55953,3.98,173.833,73.541918,-70.379109
121.01,207081058,APC,14.7741056,15041.0,5.504,2459074.32911,15.3936,123.522,928.0,9.9358,6053.0,1.23,4.3135,182.169,331.867517,-41.815511
1211.01,50312495,PC,18.1663644,624.0,2.464,2460180.146446,2.80447,16.6472,562.0,9.8135,5572.9,1.14,3.83,133.335,31.178933,-73.126759
1212.01,389924075,PC,105.5850893,462.9116325,11.6068811,2458402.036518,2.5033335,8.047858,429.5758177,10.4016,5909.57,1.1142,4.26154,190.986,87.874157,-70.991808
1214.01,451606970,PC,19.1807264,544.5602695,3.9621084,2458634.552482,2.4311768,32.9407734,611.0168649,10.0329,5262.4,0.937973,3.98,107.048,285.049519,-84.448187
1215.01,453260209,PC,1.2124493,501.2911711,0.9984653,2458570.395929,0.879419,336.2098533,1092.1250255,10.42,3751.0,0.518,4.75718,34.6633,146.87585,-77.296816
1216.01,141527965,PC,4.5541831,187.8286128,7.8146963,2458325.424166,0.8887417,54.8401357,694.0557871,11.546,4280.0,0.635812,4.61209,99.5413,87.714849,-75.688563
1217.01,248092710,PC,41.4856125,959.7522291,6.6899368,2458574.940733,12.5121956,271.196017,1035.0005398,9.6517,6354.0,3.4868701,4.24472,463.223,193.260548,-44.09936
1277.02,153949511,PC,14.8559691,1127.0,3.711,2460319.121018,2.72638,64.0545,788.0,9.76775,5544.0,0.86,4.5609,100.772,172.747799,66.796529
1280.01,230017324,PC,9.6926392,1838.2370548,3.0182304,2458691.302548,3.289074,36.4257934,626.5734732,10.6355,4665.0,0.746003,4.56182,92.4381,291.465322,61.776153
1281.01,232971294,PC,6.390888,435.0,3.766,2460351.314066,2.47201,376.532,1227.0,9.6635,6191.0,1.32,4.27017,178.259,199.442645,71.721051
1286.01,277507814,APC,0.6166953,1089.0,0.712,2460559.148579,10.4852,12724.9,2958.0,10.1653,6588.0,1.57,4.1855,278.771,310.953619,59.576628
1287.01,352764091,PC,9.6001126,380.4193796,4.9882857,2459828.256927,2.4070295,193.1543783,950.8147029,8.593,5891.0,1.2103699,4.30161,92.7225,308.747621,63.474938
1241.01,159107668,PC,4.7802597,1015.4550043,1.4588658,2459421.236112,7.6126429,1770.0151344,1654.2989516,11.1634,5826.0,2.3387201,3.7213,546.522,289.73973,44.647347
1242.01,198212955,PC,0.3814849,570.0,0.565,2459664.126568,2.0605,931.396,1539.0,11.598,4255.0,0.71,4.55641,110.015,248.553295,60.195927
1245.01,229781583,PC,4.8204512,1930.0,1.756,2459764.329317,2.36747,17.8782,572.0,12.1819,3692.0,0.52,4.71598,80.0982,283.53553,69.633534
1251.01,233120979,APC,5.9630544,11000.0,2.951,2459759.178675,10.0859,112.667,,10.6479,5273.0,0.94,4.438,185.952,273.529238,62.858243
1252.01,233211762,PC,1.1219715,3997.6445916,0.8226121,2459662.042876,3.9968417,1132.461295,1479.5361862,12.0623,5780.0,0.624,4.67672,123.8346,266.686079,70.784502
1254.01,236714379,APC,1.0180114,2618.9492168,1.1353639,2459716.011222,6.5875997,2488.20146,1801.3210938,10.794,5451.0,1.0933,4.33923,199.039,239.201466,65.888838
1258.01,288132261,PC,10.2613397,726.0,4.855,2460333.648786,3.60391,372.358,1152.0,9.13619,6124.0,1.49,4.15391,154.944,209.484313,79.583322
1261.01,356311210,PC,18.0574016,1198.0572128,3.592177,2459628.771413,3.8092663,58.1250403,704.2235859,10.6965,5897.0,1.01,4.45922,199.964,268.016064,53.730699
1262.01,365938305,PC,20.8774413,771.0,3.562,2460322.358008,2.16145,17.8402,572.0,9.5966,5396.0,0.9,4.50457,93.2276,180.726502,74.061009
1263.01,406672232,PC,1.0214555,319.0,1.252,2460557.928454,1.46266,733.19,1449.0,8.5325,5098.0,0.82,4.54682,46.5539,309.353641,22.654366
1264.01,416195870,PC,2.7441672,5650.0,1.418,2459765.819264,7.84317,172.233,1009.0,10.634,5040.0,0.97,4.38482,141.755,287.242092,57.344126
1269.02,198241702,PC,9.2378703,660.0,2.535,2459739.097032,2.22995,54.6767,757.0,10.9897,5591.0,0.85,4.38111,172.138,249.69664,64.559181
1274.01,459969957,PC,19.3203478,13910.0,4.215,2459736.340774,9.38964,13.544,534.0,11.8994,4968.1,0.8,4.5,178.141,254.816154,65.747438
1345.01,160487753,PC,8.47134,540.0,6.989,2458715.45948,16.9325,3465.35,2137.0,10.8049,5146.0,4.88,,788.93,238.031812,74.406742
1349.01,272635712,APC,12.71672,388.126,2.529,2458693.57405,2.7546,34.1387,673.0,9.34822,5711.1,1.27,4.24,130.242,231.162129,67.464751
1350.01,233953967,PC,5.5402372,2710.0,7.713,2459851.288394,17.4013,2282.41,1925.0,10.3589,6415.0,3.39,3.49,598.635,305.395161,56.462656
1291.01,198186769,PC,7.16199,800.0,7.668,2459734.427241,5.05452,1230.42,1649.0,10.8722,6229.0,1.81,4.0,428.123,245.818009,62.925121
1293.01,202504234,PC,1.6849938,990.0,0.916,2459689.485255,3.76716,342.918,1198.0,10.8605,5923.0,1.11,4.38,239.983,230.310094,63.565285
1302.01,441797803,PC,5.6666168,9780.0,3.604,2459738.402777,14.8589,442.536,1277.0,10.6724,6530.0,1.47,4.23,339.455,264.378942,73.261193
1307.01,236815160,APC,2.534612,5185.2815163,1.978,2459764.134636,,336.934,1193.0,10.7967,5009.6,,,,283.637489,59.763193
131.01,235037761,APC,6.2407826,6114.0,1.513,2460173.338551,16.0959,41.7384,708.0,9.8567,4174.0,0.9,4.34197,,353.828713,-64.561917
1311.01,378159598,APC,6.1406417,9437.1831553,2.3525428,2459392.644018,26.5174686,2040.1072476,1714.087545,10.5819,8298.0,1.87493,4.19,556.813,294.722734,41.565154
1318.01,167092385,PC,4.9865029,1341.0,2.441,2460557.056579,,,,10.151,,,,343.728,318.724623,38.094232
1320.01,167403519,PC,3.9729429,4558.0,3.653,2460556.464958,,,,10.334,,,,340.289,319.32501,38.104855
1322.01,240450679,APC,3.37644,5791.2,1.437,2458711.44969,,1059.26,1589.0,10.0819,8639.7,,3.96,713.725,323.527361,46.931774
