tic_id,Tmag,Teff,e_Teff,logg,e_logg,rad,e_rad,mass,e_mass,rho,e_rho,lum,MH,d,e_d,ebv,contratio,numcont,priority,disposition,gaiabp,gaiarp,plx,e_plx,Vmag,Jmag,Hmag,Kmag
325172035,8.2376,,,,,,,,,,,,,3847.17,621.77,1.42259,,,,,9.67268,9.44404,0.229351,0.0393917,9.687,9.28,9.226,9.181
427348923,11.6888,4421.46,115.873,4.36915,0.101486,0.900553,0.0792713,0.692,0.0808524,0.947497,0.285198,0.2792392,0.034,149.953,0.952,0.0420828,0.09196117,128,0.0007317704,,12.9854,11.6368,6.64021,0.0420267,12.635,10.766,10.291,10.097
308307606,13.2361,5419.0,88.0,4.58442,,0.819196,,0.94,,1.70987,,0.5213713,,416.217,2.6445,0.10554,,,,,14.2785,13.1815,2.37373,0.0151499,14.03,12.421,12.01,11.897
17129975,12.367,6616.0,162.337,4.2907,0.0922661,1.39196,0.0613819,1.38,0.238599,0.511685,0.122333,3.3444736,,658.741,13.1045,0.110936,0.2467414,582,3.7371603e-05,,13.011,12.2951,1.48973,0.0299613,12.782,11.773,11.56,11.514
157528286,13.0556,6044.0,122.0,4.29495,,1.24786,,1.12,,0.576388,,1.87209415,,706.679,7.333,0.103606,,,,,13.8695,12.9954,1.38625,0.0145729,13.665,12.37,12.03,12.01
19028197,10.2479,3552.0,157.0,4.73767,0.00819406,0.499698,0.0149283,0.497757,0.0203467,3.98928,0.194657,0.03580979,,29.4214,0.05075,0.0,0.000509163248,114,0.0,,12.5863,10.2906,33.9601,0.0581536,12.332,8.794,8.206,7.989
198356533,8.69378,6093.0,124.709,4.32207,0.0785303,1.2224,0.0548341,1.144,0.152159,0.626305,0.132662,1.855436,,103.297,0.183,0.00586632,0.00270146085,82,0.0119748022,,9.38596,8.65454,9.65191,0.016991,9.173,8.177,7.864,7.817
233735068,10.0194,5273.0,122.0,,,3.06688,,,,,,,,364.477,3.2885,0.0159731,,,,,10.9869,9.97131,2.71496,0.0245664,10.689,9.279,8.862,8.775
360630575,8.7215,5876.0,124.046,4.47808,0.0772154,0.983215,0.0449925,1.06,0.13727,1.11522,0.24334,1.03829074,,79.5561,0.14855,0.0,0.0253508966,783,0.006010678,,9.47033,8.68088,12.5408,0.023295,9.29,8.144,7.89,7.82
18318288,12.4106,3300.0,157.0,4.97775,0.0124862,0.256456,0.00765628,0.227881,0.0201097,13.5104,0.0346886,0.00702710124,,31.4566,0.0405,0.0,0.06769309,148,0.004601486,,15.2454,12.488,31.7609,0.0406214,14.981,10.816,10.248,9.989
