tic_id,Teff,rad,mass,logg,Tmag,contratio
KIC5952403,5037.0,7.553,2.091,3.002,6.966,
KIC5217733,9341.0,1.87,2.128,4.222,7.391,
KIC3836439,7394.0,2.283,1.502,3.897,7.57,
KIC9851142,7059.0,2.21,1.571,3.946,7.631,
KIC5108214,5799.0,2.377,1.339,3.813,7.837,
KIC4150611,6911.0,1.501,0.897,4.038,7.899,
KIC8738244,8247.0,7.762,3.253,3.17,8.163,
KIC3644542,8275.0,3.251,2.053,3.726,8.351,
KIC8560861,7854.0,3.462,2.039,3.669,8.5,
KIC11709006,6014.0,0.993,1.101,4.486,8.777,
KIC7022603,4024.0,30.882,1.636,1.672,8.789,
KIC3230227,8162.0,2.321,1.845,3.973,9.002,
KIC4832225,9464.0,2.184,2.272,4.116,9.072,
KIC4373195,9005.0,2.773,1.941,3.84,9.121,
KIC2970804,5780.0,1.0,1.0,4.438,9.16,
KIC5200084,7846.0,3.05,2.29,3.829,9.162,
KIC9641031,6126.0,1.176,0.972,4.285,9.177,
KIC7090801,5780.0,1.0,1.0,4.438,9.233,
KIC4565985,4029.0,20.888,0.972,1.786,9.242,
KIC9246715,4857.0,14.219,1.95,2.422,9.266,
KIC3858884,6569.0,1.729,1.11,4.008,9.277,
KIC6946985,9935.0,1.996,2.332,4.205,9.397,
KIC10230571,,,,,9.473,
KIC11913071,8529.0,3.065,2.017,3.769,9.532,
KIC10031808,6331.0,2.194,1.142,3.813,9.557,
KIC12366681,,,,,9.563,
KIC2696703,6785.0,1.666,1.47,4.162,9.58,
KIC5980354,6770.0,1.449,1.313,4.232,9.616,
KIC6182093,6626.0,3.206,1.776,3.676,9.666,
KIC7219761,,,,,9.668,
KIC9405541,3306.0,116.965,0.935,0.273,9.687,
KIC11560431,5367.0,0.828,0.817,4.514,9.694,
KIC10614012,5067.0,8.121,1.812,2.877,9.715,
KIC4565943,8892.0,4.35,2.697,3.592,9.725,
KIC3441784,7240.0,1.717,1.62,4.178,9.729,
KIC5111801,6609.0,1.455,1.144,4.17,9.807,
KIC7779942,6731.0,1.876,1.42,4.043,9.816,
KIC8848288,4694.0,12.701,2.156,2.564,9.837,
KIC11231334,6529.0,3.131,1.623,3.657,9.887,
KIC3967501,4766.0,5.915,1.059,2.919,9.927,
KIC5732636,6197.0,1.208,0.93,4.242,9.931,
KIC5790807,6796.0,2.49,1.715,3.88,9.954,
KIC3834317,6911.0,3.339,1.865,3.661,10.008,
KIC4035667,8173.0,3.169,2.032,3.744,10.035,
KIC9752973,6109.0,1.173,0.85,4.229,10.047,
KIC6864569,11076.0,2.896,2.984,3.989,10.052,
KIC3459199,5314.0,11.82,3.083,2.782,10.055,
KIC3848948,8277.0,3.518,2.225,3.693,10.061,
KIC6049470,3778.0,0.515,0.533,4.742,10.067,
KIC8916492,7516.0,3.685,2.218,3.651,10.083,
KIC11285625,7216.0,2.804,1.682,3.768,10.143,
KIC4732015,4217.0,27.676,1.264,1.656,10.147,
KIC8846809,7846.0,3.066,1.898,3.743,10.152,
KIC6525196,6082.0,1.006,0.896,4.385,10.154,
KIC5598639,5143.0,0.776,0.796,4.559,10.201,
KIC6610433,,,,,10.206,
KIC7116117,7589.0,2.169,1.809,4.023,10.238,
KIC10389280,11357.0,4.528,3.472,3.667,10.25,
KIC8766285,5780.0,1.0,1.0,4.438,10.25,
KIC8179973,,,,,10.266,
KIC10991989,5210.0,15.004,3.512,2.631,10.282,
KIC5094301,5506.0,0.782,0.725,4.512,10.291,
KIC8552540,5951.0,0.991,0.983,4.439,10.292,
KIC3127911,8711.0,2.954,1.987,3.795,10.326,
KIC10156064,7652.0,1.921,1.707,4.104,10.367,
