toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
1063.01,406976746,PC,10.0665238,839.9044871,2.4023189,2458629.391681,2.7272824,54.8791715,694.1792631,9.0689,5552.0,0.791742,4.61783,61.1201,230.555493,-83.056214
1064.01,79748331,CP,6.4438657,1121.9512275,1.9309449,2458656.668478,2.460344,60.831305,712.2812841,10.0059,4803.0,0.737189,4.52079,68.0726,296.003935,-47.56203
1064.02,79748331,CP,12.2265595,1206.3693293,2.1904379,2458664.490132,2.6014766,25.8970378,575.3502049,10.0059,4803.0,0.737189,4.52079,68.0726,296.003935,-47.56203
1065.01,7088246,KP,2.1605155,13774.8794619,1.4806956,2458654.345755,12.5491935,994.8004349,1432.3651344,13.2851,5780.0,1.2,4.32928,639.004,286.36675,-50.06735
1066.01,201604954,KP,4.606184,13793.034867,3.121643,2458657.832537,12.962219,,,11.9707,5670.0,1.07,4.3925,353.891,285.096517,-54.893341
1067.01,201642601,KP,3.1316735,14915.6943722,2.4579197,2458656.987874,9.4995191,148.6544991,890.5622134,13.1686,4351.0,0.76701,4.438,263.609,288.672005,-59.57935
1068.01,6663331,KP,3.180362,21192.463324,2.111521,2458656.633231,13.446487,,,13.2887,5498.0,0.92,4.47934,535.383,284.399762,-49.138513
1069.01,31858843,KP,2.9776446,13022.0,2.962,2460147.378764,14.4339,758.324,1461.0,10.4293,5703.0,1.22,4.25824,197.996,289.479212,-32.860124
107.01,92352620,KP,3.9502008,13914.0,4.444,2460176.993334,20.5357,1009.38,1570.0,9.6433,6153.0,1.71,4.18077,211.211,313.783239,-34.135751
1070.01,31858844,FP,2.9776152,43218.111683,3.25697,2458655.579241,26.88423,873.27,1386.5,15.7114,5740.0,1.28,4.29219,,289.478541,-32.861327
1071.01,120247528,KP,3.5544026,10164.8753396,2.0550535,2458655.394059,13.200677,515.0014435,1214.9876435,11.5803,5639.0,1.11499,4.37172,290.198,280.184169,-58.459388
1072.01,140830390,FP,12.8379689,10539.0192794,9.8464123,2459211.732146,25.4886382,374.129,1225.0,11.7106,5765.0,2.4494,4.34773,703.878,75.627307,-72.913998
1073.01,158297421,CP,3.9228016,31510.9004906,1.8736007,2459036.472812,13.3368705,91.167589,788.0973496,13.6699,4444.0,0.6983,4.438,300.67,287.484402,-49.664942
1074.01,327301957,PC,13.9428705,1015.395543,3.7522756,2458662.652685,2.4233421,28.0927293,587.1759148,10.6339,5206.0,0.741671,4.63095,107.356,310.761004,-72.010267
