tid,pl_orbper,label,pl_trandep,pl_tranmid
79748331,6.4438657,planet,1121.9512275,2458656.668478
7088246,2.1605155,planet,13774.8794619,2458654.345755
201604954,4.606184,planet,13793.034867,2458657.832537
201642601,3.1316735,planet,14915.6943722,2458656.987874
6663331,3.180362,planet,21192.463324,2458656.633231
31858843,2.9776446,planet,13022.0,2460147.378764
92352620,3.9502008,planet,13914.0,2460176.993334
31858844,2.9776152,false_positive,43218.111683,2458655.579241
120247528,3.5544026,planet,10164.8753396,2458655.394059
140830390,12.8379689,false_positive,10539.0192794,2459211.732146
158297421,3.9228016,planet,31510.9004906,2459036.472812
351601843,0.6047392,planet,1027.6833479,2458654.249503
360742636,2.5495611,planet,14921.4021936,2458654.163257
50365310,2.1713484,false_positive,656.8860989,2459229.630046
124709665,1.8675574,false_positive,1500.0,2459224.687802
106997505,2.74323,false_positive,383.41,2458493.3957
238597883,3.5730141,false_positive,755.0,2459987.047262
169904935,4.5505945,false_positive,3731.0,2459985.156855
156115721,2.5047918,false_positive,2270.5402194,2459229.984579
440801822,2.0483755,false_positive,483.0,2460258.236122
231663901,1.4303699,planet,18960.7122944,2458326.009117
139853601,0.6808702,false_positive,1507.8006889,2459228.878101
97700520,5.4255548,false_positive,14939.6342222,2459232.248322
96246348,1.4095184,false_positive,2841.5103258,2459985.657041
155044736,1.3730466,false_positive,1301.5065338,2459963.610065
175310067,12.6889415,false_positive,3232.8527885,2459238.831138
182943944,1.10422,false_positive,14177.7,2458518.96536
291555748,4.95912,false_positive,7440.0,2458492.78078
149603524,4.4119372,planet,14711.8810303,2460982.065462
140706664,3.28892,false_positive,10518.9,2458521.29108
143994283,1.90879,false_positive,618.482,2458492.90429
47384844,3.09574,false_positive,380.0,2458547.448
238374636,1.3214483,false_positive,2180.0,2459303.303969
141482386,18.0157,false_positive,610.0,2458339.72276
297967252,9.6837908,false_positive,4965.2496516,2460733.686688
388624270,14.2628757,false_positive,913.2067174,2460720.807674
447283466,1.01606,false_positive,240.0,2458544.48066
374908020,36.22214,false_positive,7170.0,2458365.89313
336732616,3.547854,planet,10424.3718,2458327.25256
464296022,12.1246519,false_positive,7279.0,2460054.783937
304021498,5.652623,false_positive,1250.0,2459304.837939
149601557,29.0161646,false_positive,1238.3381592,2460717.39858
400595342,3.6404389,false_positive,476.3077321,2460768.617427
363260203,1.2025238,false_positive,390.0,2459331.124512
90544017,3.2235985,false_positive,680.0,2459273.371643
231670397,4.0872956,planet,3572.1712499,2460150.608677
310483807,2.55555,false_positive,397.9246747,2460756.129789
385624852,8.30792,false_positive,8350.0,2459261.801216
360286627,0.758082,false_positive,583.93181,2459281.337956
90448944,1.4415577,false_positive,507.0,2459985.770425
54044474,3.7039994,false_positive,7590.0,2459301.544126
309787037,1.3042553,false_positive,914.0,2460177.867195
370745311,0.62627,false_positive,1880.0,2458544.79061
384549882,0.30412,false_positive,1330.0,2458518.376
16288184,2.1805333,planet,16399.8584641,2458626.801546
144065872,2.1846669,planet,11535.5475157,2460904.412675
66818296,3.7354838,planet,17030.0,2459355.54563
259863352,21.701669,false_positive,211.6567325,2458657.736625
317060587,9.139804,planet,358.4157801,2458332.941229
112395568,5.742625,false_positive,1105.760867,2458657.999179
366989877,15.5077855,planet,513.0,2460122.700139
320004517,17.4713078,planet,1199.7541483,2458661.062711
38846515,2.8493827,planet,7740.4889995,2460988.068249
253990973,0.540933,false_positive,257.347459,2458654.253249
299799658,4.1150576,planet,487.0,2460177.200429
405862830,1.6268695,false_positive,1502.0,2460122.432108
269450900,2.32439,false_positive,2704.18,2458657.63073
425721385,13.5499,false_positive,1180.0,2458663.15245
91576611,4.43651,false_positive,1520.0,2458659.06927
97409519,3.372877,planet,17163.60419,2458327.053085
254113311,8.34998,planet,16680.0,2460144.137122
267489265,1.5502952,false_positive,411.0,2460351.800169
69997672,1.80709,false_positive,450.0,2458684.2349
122220263,18.6922101,false_positive,11126.0,2460333.437983
154872375,8.0277326,planet,5705.0,2460658.97426
142276270,12.5187279,planet,2320.0,2459612.447691
370133522,0.5182425,planet,831.8920424,2458654.10332
289793076,3.0440495,planet,22807.0101774,2458328.085025
161032923,3.9652485,planet,3680.7544436,2458654.060577
380589029,1.3484961,planet,18463.7636682,2458653.973305
426077080,9.30992,false_positive,2220.0,2458630.77194
343648136,1.15395,false_positive,1550.0,2458626.38955
129319156,4.73703,false_positive,2410.0,2458643.10264
29344935,2.76676,planet,14947.4387827,2458326.127479
361034196,2.19296,false_positive,4933.74,2458628.96316
387079085,1.1923,false_positive,3730.0,2458601.38096
382331352,11.47606,false_positive,3050.0,2458601.33791
375225453,0.9209526,false_positive,360.8801529,2459307.93577
360630575,9.188506,planet,460.0,2459376.410518
383390264,10.1826983,planet,667.4752458,2458629.909082
290348383,6.441006,planet,914.0,2460140.220927
281459670,3.1743504,planet,15457.3247576,2458328.039934
318608749,20.0731588,false_positive,1152.9645461,2459044.494531
271581073,2.66903,false_positive,3110.0,2459058.79277
311890977,6.63371,false_positive,1555.34,2458627.80423
451599528,341.2791676,false_positive,8583.5584652,2458702.256022
394561119,4.0782392,planet,6046.6959687,2459336.073646
295599256,7.14386,false_positive,11146.4,2458655.54872
50309953,7.04083,false_positive,1580.0,2459083.35168
355703913,2.1061569,planet,12142.2238514,2458326.105486
446549905,2.4545635,false_positive,4248.0,2460146.990136
412014494,11.4756978,false_positive,8341.0,2460131.889805
369864738,2.78186,false_positive,490.0,2458626.54168
290348382,6.4410082,false_positive,7076.0,2460140.221205
90919952,4.13812,false_positive,5560.0,2458660.16316
388104525,2.4997996,planet,14621.2059647,2460069.773646
143257766,1.66226,false_positive,6030.0,2458656.45082
24094603,4.07611,false_positive,1454.18,2458658.61052
304774444,3.6245513,false_positive,1299.0,2460115.852574
237185205,15.7335693,false_positive,2540.0,2459441.423236
89643259,2.2219839,false_positive,4394.0,2460337.368138
147950620,2.3106428,planet,6911.0,2460367.07216
24364065,4.05135,false_positive,1132.23,2458686.84696
203189770,3.612771,planet,11794.0,2460551.040398
99869022,3.6714717,planet,4340.0,2460360.434669
394137592,11.535076,planet,2389.90616,2458332.082805
288185138,0.8352406,false_positive,2065.0,2460365.995576
29960110,2.4919771,planet,2093.9594201,2458411.670877
23434737,25.5195307,planet,558.3758637,2458553.062116
110428269,0.64971,false_positive,620.0,2458684.20504
25155310,3.2887898,planet,7005.7247902,2458327.519958
320525204,13.7431084,false_positive,5688.0,2460637.861679
159510109,16.9487087,false_positive,156467.5479643,2460289.874408
